 Phytoplankton group chlorophyll-specific                             
 absorption and total scattering coefficients.                        
 Diatoms, Chlorophytes, Cyanobacteria                                 
 Coccolithphores, and Dinoflagellates, grouped as                     
 ac, bc within each heading                                           
 Format: i4,2f10.4                                                    
 Diatoms                                                              
 250    0.       0.3972
 325    0.       0.3655
 350    0.0309   0.3208
 375    0.032    0.312
 400    0.034    0.2992
 425    0.0384   0.2841
 450    0.0379   0.2738
 475    0.0324   0.2686
 500    0.0272   0.2631
 525    0.0206   0.2589
 550    0.014    0.2547
 575    0.0087   0.2494
 600    0.0071   0.2402
 625    0.0091   0.2275
 650    0.0104   0.2154
 675    0.0223   0.1927
 700    0.0042   0.2001
 725    0.0003   0.1932
 750    0.       0.
 Flagellates
 250    0.       0.8391
 325    0.       0.7732
 350    0.0563   0.6882
 375    0.0572   0.6712
 400    0.0645   0.6416
 425    0.0721   0.6115
 450    0.0709   0.5904
 475    0.0596   0.5793
 500    0.0412   0.5753
 525    0.0229   0.5713
 550    0.0123   0.5595
 575    0.0085   0.5409
 600    0.0082   0.5189
 625    0.0081   0.4965
 650    0.0083   0.474
 675    0.018    0.442
 700    0.0049   0.4326
 725    0.0008   0.4144
 750    0.       0.
 Pico
 250    0.       0.3146
 325    0.       0.2851
 350    0.0427   0.2296
 375    0.0444   0.2207
 400    0.0478   0.2073
 425    0.0554   0.1897
 450    0.0523   0.1828
 475    0.0414   0.1837
 500    0.0359   0.1792
 525    0.0266   0.1785
 550    0.0256   0.1695
 575    0.0257   0.1594
 600    0.0181   0.1570
 625    0.01901  0.146
 650    0.0197   0.1354
 675    0.0262   0.1188
 700    0.0129   0.1223
 725    0.0068   0.1183
 750    0.       0.
 Dino
 250    0.       0.0462
 325    0.       0.0462
 350    0.0269   0.0193
 375    0.028    0.0182
 400    0.0299   0.0164
 425    0.0337   0.0125
 450    0.0345   0.0117
 475    0.0316   0.0146
 500    0.027    0.0192
 525    0.0211   0.0251
 550    0.0167   0.0295
 575    0.0102   0.036
 600    0.009    0.0372
 625    0.0089   0.0373
 650    0.0093   0.0369
 675    0.0185   0.0277
 700    0.0065   0.0397
 725    0.0003   0.0459
 750    0.       0.
