Phytoplankton chl-specific absorption and c-specific scatter
Computed in 02PFTs_&constituents_data_files_carbon.R
# aPH compiled from literature (Literature_spectra6.xls) (m2 mgChla-1) and scaled
# bPH from Dutkiewicz et al 2015 (m2 mgC-1)
# non-spectral bb ratio (-), it multiplies bPH in edeseu.F90
Format I4,2F10.4, 1F10.5, 1F13.9
Diatoms
 250    0.0014   0.0014   0.00352   0.000068182
 325    0.0063   0.0063   0.00352   0.000068182
 350    0.0120   0.0120   0.00352   0.000068182
 375    0.0177   0.0177   0.00352   0.000068182
 400    0.0227   0.0227   0.00352   0.000068182
 425    0.0266   0.0266   0.00336   0.000071428
 450    0.0253   0.0253   0.00336   0.000071428
 475    0.0200   0.0200   0.00354   0.000067796
 500    0.0161   0.0161   0.00362   0.000066298
 525    0.0107   0.0107   0.00368   0.000065217
 550    0.0068   0.0068   0.00364   0.000065934
 575    0.0048   0.0048   0.00359   0.000066852
 600    0.0045   0.0045   0.00351   0.000068376
 625    0.0058   0.0058   0.00341   0.000070381
 650    0.0069   0.0069   0.00323   0.000074303
 675    0.0130   0.0130   0.00299   0.000080267
 700    0.0031   0.0031   0.00309   0.000077670
 725    0.0012   0.0012   0.00309   0.000077670
 775    0.0002   0.0002   0.00309   0.000077670
Flagellates
 250    0.0027   0.0027   0.00656   0.000383537
 325    0.0124   0.0124   0.00656   0.000383537
 350    0.0236   0.0236   0.00656   0.000383537
 375    0.0348   0.0348   0.00656   0.000383537
 400    0.0478   0.0478   0.00656   0.000383537
 425    0.0596   0.0596   0.00642   0.000391900
 450    0.0567   0.0567   0.00645   0.000390077
 475    0.0484   0.0484   0.00681   0.000369457
 500    0.0341   0.0341   0.00762   0.000330184
 525    0.0181   0.0181   0.00811   0.000310234
 550    0.0112   0.0112   0.00840   0.000299524
 575    0.0104   0.0104   0.00840   0.000299524
 600    0.0113   0.0113   0.00821   0.000306455
 625    0.0136   0.0136   0.00803   0.000313325
 650    0.0174   0.0174   0.00775   0.000324645
 675    0.0280   0.0280   0.00731   0.000344186
 700    0.0060   0.0060   0.00795   0.000316478
 725    0.0016   0.0016   0.00795   0.000316478
 775    0.0006   0.0006   0.00795   0.000316478
Pico
 250    0.0030   0.0030   0.00544   0.002125287
 325    0.0139   0.0139   0.00544   0.002125287
 350    0.0264   0.0264   0.00544   0.002125287
 375    0.0389   0.0389   0.00544   0.002125287
 400    0.0524   0.0524   0.00544   0.002125287
 425    0.0741   0.0741   0.00507   0.002279339
 450    0.0750   0.0750   0.00505   0.002289500
 475    0.0595   0.0595   0.00507   0.002278216
 500    0.0413   0.0413   0.00518   0.002233092
 525    0.0202   0.0202   0.00505   0.002288366
 550    0.0174   0.0174   0.00481   0.002402547
 575    0.0116   0.0116   0.00460   0.002514962
 600    0.0090   0.0090   0.00429   0.002693765
 625    0.0106   0.0106   0.00397   0.002907233
 650    0.0156   0.0156   0.00367   0.003144558
 675    0.0242   0.0242   0.00346   0.003339957
 700    0.0051   0.0051   0.00379   0.003053170
 725    0.0012   0.0012   0.00379   0.003053170
 775    0.0000   0.0000   0.00379   0.003053170
Dino
 250    0.0028   0.0028   0.00071   0.002443662
 325    0.0128   0.0128   0.00071   0.002443662
 350    0.0243   0.0243   0.00071   0.002443662
 375    0.0358   0.0358   0.00071   0.002443662
 400    0.0436   0.0436   0.00071   0.002443662
 425    0.0445   0.0445   0.00070   0.002478571
 450    0.0423   0.0423   0.00067   0.002589552
 475    0.0359   0.0359   0.00068   0.002551471
 500    0.0277   0.0277   0.00074   0.002344595
 525    0.0198   0.0198   0.00079   0.002196203
 550    0.0131   0.0131   0.00085   0.002041176
 575    0.0084   0.0084   0.00091   0.001906593
 600    0.0075   0.0075   0.00092   0.001885870
 625    0.0085   0.0085   0.00093   0.001865591
 650    0.0101   0.0101   0.00093   0.001865591
 675    0.0208   0.0208   0.00086   0.002017442
 700    0.0037   0.0037   0.00097   0.001788660
 725    0.0005   0.0005   0.00097   0.001788660
 775    0.0000   0.0000   0.00097   0.001788660
