             187.5              312.5                 0.6112000000                 0.0567000000
             312.5              337.5                 0.0762000000                 0.0187000000
             337.5              362.5                 0.0461000000                 0.0135000000
             362.5              387.5                 0.0182000000                 0.0100000000
             387.5              412.5                 0.0063000000                 0.0076000000
             412.5              437.5                 0.0051000000                 0.0058000000
             437.5              462.5                 0.0083000000                 0.0045000000
             462.5              487.5                 0.0119000000                 0.0036000000
             487.5              512.5                 0.0215000000                 0.0029000000
             512.5              537.5                 0.0407000000                 0.0023000000
             537.5              562.5                 0.0550000000                 0.0019000000
             562.5              587.5                 0.0849000000                 0.0016000000
             587.5              612.5                 0.1995000000                 0.0014000000
             612.5              637.5                 0.2850000000                 0.0012000000
             637.5              662.5                 0.3512000000                 0.0009000000
             662.5              687.5                 0.4559000000                 0.0007000000
             687.5              712.5                 0.6433000000                 0.0007000000
             712.5              750.0                 1.4449000000                 0.0006000000
             750.0              800.0                 2.3900000000                 0.0004000000
             800.0              900.0                 3.7382000000                 0.0002000000
             900.0             1000.0                27.4805000000                 0.0000000000
            1000.0             1100.0                19.3470000000                 0.0000000000
            1100.0             1200.0                67.1800000000                 0.0000000000
            1200.0             1300.0                94.9976000000                 0.0000000000
            1300.0             1400.0               363.1256000000                 0.0000000000
            1400.0             1500.0              1118.6070000000                 0.0000000000
            1500.0             1600.0               944.8757000000                 0.0000000000
            1600.0             1700.0               519.5995000000                 0.0000000000
            1700.0             1800.0               646.7179000000                 0.0000000000
            1800.0             2000.0              3768.5610000000                 0.0000000000
            2000.0             2400.0              2628.0830000000                 0.0000000000
            2400.0             3400.0            437623.0000000000                 0.0000000000
            3400.0             4000.0           1338404.0000000000                 0.0000000000
