             187.5              312.5
             312.5              337.5
             337.5              362.5
             362.5              387.5
             387.5              412.5
             412.5              437.5
             437.5              462.5
             462.5              487.5
             487.5              512.5
             512.5              537.5
             537.5              562.5
             562.5              587.5
             587.5              612.5
             612.5              637.5
             637.5              662.5
             662.5              687.5
             687.5              712.5
             712.5              750.0
             750.0              800.0
             800.0              900.0
             900.0             1000.0
            1000.0             1100.0
            1100.0             1200.0
            1200.0             1300.0
            1300.0             1400.0
            1400.0             1500.0
            1500.0             1600.0
            1600.0             1700.0
            1700.0             1800.0
            1800.0             2000.0
            2000.0             2400.0
            2400.0             3400.0
            3400.0             4000.0
